l2 gear
10:36:10.632 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.989, roll: 2.092, pitch: 3.613
10:37:31.087 -> Acceleration in g's  X: -0.064, Y: 0.041, Z: 0.973, roll: 2.415, pitch: 3.788
10:37:31.120 -> Acceleration in g's  X: -0.061, Y: 0.033, Z: 0.975, roll: 1.951, pitch: 3.553
10:37:31.156 -> Acceleration in g's  X: -0.063, Y: 0.039, Z: 0.991, roll: 2.257, pitch: 3.661
10:37:31.190 -> Acceleration in g's  X: -0.064, Y: 0.038, Z: 0.986, roll: 2.211, pitch: 3.736
10:37:31.190 -> Acceleration in g's  X: -0.063, Y: 0.030, Z: 0.985, roll: 1.760, pitch: 3.684
10:37:31.224 -> Acceleration in g's  X: -0.067, Y: 0.035, Z: 1.009, roll: 1.996, pitch: 3.819
10:37:31.258 -> Acceleration in g's  X: -0.068, Y: 0.034, Z: 1.001, roll: 1.956, pitch: 3.905
10:37:31.292 -> Acceleration in g's  X: -0.057, Y: 0.030, Z: 0.985, roll: 1.760, pitch: 3.288
10:37:31.292 -> Acceleration in g's  X: -0.065, Y: 0.042, Z: 0.989, roll: 2.431, pitch: 3.781
10:37:31.325 -> Acceleration in g's  X: -0.063, Y: 0.019, Z: 0.985, roll: 1.079, pitch: 3.629
10:37:31.359 -> Acceleration in g's  X: -0.060, Y: 0.035, Z: 0.985, roll: 2.043, pitch: 3.457
10:37:31.392 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.980, roll: 2.111, pitch: 3.645
10:37:31.426 -> Acceleration in g's  X: -0.065, Y: 0.032, Z: 0.968, roll: 1.907, pitch: 3.866
10:37:31.426 -> Acceleration in g's  X: -0.064, Y: 0.028, Z: 0.993, roll: 1.633, pitch: 3.712
10:37:31.460 -> Acceleration in g's  X: -0.063, Y: 0.042, Z: 1.020, roll: 2.359, pitch: 3.560
10:37:31.494 -> Acceleration in g's  X: -0.062, Y: 0.027, Z: 1.021, roll: 1.533, pitch: 3.445
10:37:31.540 -> Acceleration in g's  X: -0.060, Y: 0.033, Z: 1.011, roll: 1.882, pitch: 3.371
10:37:31.540 -> Acceleration in g's  X: -0.064, Y: 0.024, Z: 0.936, roll: 1.495, pitch: 3.940
10:37:31.574 -> Acceleration in g's  X: -0.067, Y: 0.047, Z: 1.015, roll: 2.645, pitch: 3.795
10:37:31.574 -> Acceleration in g's  X: -0.066, Y: 0.028, Z: 1.014, roll: 1.600, pitch: 3.747
10:37:31.607 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.988, roll: 2.094, pitch: 3.560
10:37:31.641 -> Acceleration in g's  X: -0.065, Y: 0.037, Z: 0.985, roll: 2.157, pitch: 3.796
10:37:31.675 -> Acceleration in g's  X: -0.063, Y: 0.031, Z: 1.002, roll: 1.786, pitch: 3.568
10:37:31.709 -> Acceleration in g's  X: -0.071, Y: 0.037, Z: 0.996, roll: 2.134, pitch: 4.091
10:37:31.709 -> Acceleration in g's  X: -0.065, Y: 0.032, Z: 0.994, roll: 1.857, pitch: 3.764
10:37:31.744 -> Acceleration in g's  X: -0.063, Y: 0.041, Z: 0.982, roll: 2.391, pitch: 3.637
10:37:31.777 -> Acceleration in g's  X: -0.057, Y: 0.022, Z: 0.972, roll: 1.324, pitch: 3.335
10:37:31.811 -> Acceleration in g's  X: -0.063, Y: 0.038, Z: 0.991, roll: 2.200, pitch: 3.605
10:37:31.811 -> Acceleration in g's  X: -0.059, Y: 0.047, Z: 0.987, roll: 2.718, pitch: 3.393
10:37:31.846 -> Acceleration in g's  X: -0.068, Y: 0.033, Z: 0.976, roll: 1.949, pitch: 4.006
10:37:31.880 -> Acceleration in g's  X: -0.061, Y: 0.041, Z: 0.998, roll: 2.353, pitch: 3.469
10:37:31.914 -> Acceleration in g's  X: -0.067, Y: 0.043, Z: 0.991, roll: 2.482, pitch: 3.885
10:37:31.914 -> Acceleration in g's  X: -0.054, Y: 0.035, Z: 0.985, roll: 2.043, pitch: 3.118
10:37:31.947 -> Acceleration in g's  X: -0.062, Y: 0.038, Z: 0.986, roll: 2.211, pitch: 3.567
10:37:31.982 -> Acceleration in g's  X: -0.062, Y: 0.028, Z: 0.991, roll: 1.637, pitch: 3.550
10:37:32.016 -> Acceleration in g's  X: -0.064, Y: 0.028, Z: 0.991, roll: 1.637, pitch: 3.719
10:37:32.016 -> Acceleration in g's  X: -0.062, Y: 0.043, Z: 0.979, roll: 2.512, pitch: 3.591
10:37:32.051 -> Acceleration in g's  X: -0.068, Y: 0.041, Z: 0.984, roll: 2.386, pitch: 3.969
10:37:32.084 -> Acceleration in g's  X: -0.063, Y: 0.031, Z: 0.999, roll: 1.792, pitch: 3.634
10:37:32.118 -> Acceleration in g's  X: -0.066, Y: 0.042, Z: 0.981, roll: 2.450, pitch: 3.867
10:37:32.118 -> Acceleration in g's  X: -0.061, Y: 0.030, Z: 0.989, roll: 1.753, pitch: 3.501
10:37:32.153 -> Acceleration in g's  X: -0.064, Y: 0.030, Z: 0.987, roll: 1.756, pitch: 3.733
10:37:32.186 -> Acceleration in g's  X: -0.057, Y: 0.035, Z: 0.979, roll: 2.056, pitch: 3.307
10:37:32.220 -> Acceleration in g's  X: -0.065, Y: 0.029, Z: 0.953, roll: 1.761, pitch: 3.925
10:37:32.254 -> Acceleration in g's  X: -0.061, Y: 0.040, Z: 0.999, roll: 2.295, pitch: 3.465
10:37:32.254 -> Acceleration in g's  X: -0.053, Y: 0.039, Z: 1.000, roll: 2.237, pitch: 3.016
10:37:32.287 -> Acceleration in g's  X: -0.064, Y: 0.042, Z: 1.020, roll: 2.359, pitch: 3.614
10:37:32.321 -> Acceleration in g's  X: -0.062, Y: 0.028, Z: 0.955, roll: 1.698, pitch: 3.684
10:37:32.355 -> Acceleration in g's  X: -0.064, Y: 0.032, Z: 0.989, roll: 1.866, pitch: 3.726
10:37:32.355 -> Acceleration in g's  X: -0.073, Y: 0.029, Z: 0.988, roll: 1.698, pitch: 4.237
10:37:32.388 -> Acceleration in g's  X: -0.060, Y: 0.043, Z: 0.996, roll: 2.470, pitch: 3.419
10:37:32.423 -> Acceleration in g's  X: -0.058, Y: 0.044, Z: 0.990, roll: 2.541, pitch: 3.327
10:37:32.458 -> Acceleration in g's  X: -0.069, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.983
10:37:32.458 -> Acceleration in g's  X: -0.061, Y: 0.035, Z: 1.000, roll: 2.013, pitch: 3.463
10:37:32.492 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.998, roll: 2.017, pitch: 3.525
10:37:32.525 -> Acceleration in g's  X: -0.063, Y: 0.040, Z: 0.997, roll: 2.300, pitch: 3.640
10:37:32.558 -> Acceleration in g's  X: -0.057, Y: 0.032, Z: 0.980, roll: 1.883, pitch: 3.304
10:37:32.558 -> Acceleration in g's  X: -0.048, Y: 0.037, Z: 0.963, roll: 2.207, pitch: 2.843
10:37:32.592 -> Acceleration in g's  X: -0.069, Y: 0.041, Z: 1.016, roll: 2.313, pitch: 3.902
10:37:32.626 -> Acceleration in g's  X: -0.063, Y: 0.029, Z: 0.987, roll: 1.700, pitch: 3.621
10:37:32.660 -> Acceleration in g's  X: -0.068, Y: 0.047, Z: 1.001, roll: 2.681, pitch: 3.903
10:37:32.660 -> Acceleration in g's  X: -0.057, Y: 0.038, Z: 1.001, roll: 2.179, pitch: 3.236
10:37:32.694 -> Acceleration in g's  X: -0.068, Y: 0.035, Z: 0.989, roll: 2.035, pitch: 3.950
10:37:32.728 -> Acceleration in g's  X: -0.052, Y: 0.031, Z: 0.974, roll: 1.838, pitch: 3.041
10:37:32.761 -> Acceleration in g's  X: -0.064, Y: 0.038, Z: 0.990, roll: 2.203, pitch: 3.721
10:37:32.795 -> Acceleration in g's  X: -0.063, Y: 0.038, Z: 0.989, roll: 2.205, pitch: 3.669
10:37:32.795 -> Acceleration in g's  X: -0.060, Y: 0.025, Z: 0.989, roll: 1.470, pitch: 3.445
10:37:32.830 -> Acceleration in g's  X: -0.057, Y: 0.038, Z: 0.976, roll: 2.236, pitch: 3.320
10:37:32.864 -> Acceleration in g's  X: -0.071, Y: 0.042, Z: 1.008, roll: 2.386, pitch: 4.043
10:37:32.897 -> Acceleration in g's  X: -0.072, Y: 0.032, Z: 1.003, roll: 1.840, pitch: 4.119
10:37:32.897 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.981, roll: 1.938, pitch: 3.698
10:37:32.931 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.588
10:37:32.966 -> Acceleration in g's  X: -0.063, Y: 0.032, Z: 1.027, roll: 1.797, pitch: 3.534
10:37:33.001 -> Acceleration in g's  X: -0.055, Y: 0.032, Z: 0.976, roll: 1.892, pitch: 3.207
10:37:33.001 -> Acceleration in g's  X: -0.062, Y: 0.022, Z: 0.934, roll: 1.378, pitch: 3.769
10:37:33.036 -> Acceleration in g's  X: -0.072, Y: 0.048, Z: 1.029, roll: 2.662, pitch: 4.012
10:37:33.069 -> Acceleration in g's  X: -0.056, Y: 0.040, Z: 1.012, roll: 2.266, pitch: 3.147
10:37:33.104 -> Acceleration in g's  X: -0.063, Y: 0.047, Z: 0.981, roll: 2.734, pitch: 3.696
10:37:33.104 -> Acceleration in g's  X: -0.064, Y: 0.034, Z: 0.980, roll: 1.997, pitch: 3.759
10:37:33.137 -> Acceleration in g's  X: -0.065, Y: 0.036, Z: 0.986, roll: 2.098, pitch: 3.793
10:37:33.171 -> Acceleration in g's  X: -0.066, Y: 0.028, Z: 0.994, roll: 1.632, pitch: 3.820
10:37:33.206 -> Acceleration in g's  X: -0.066, Y: 0.033, Z: 0.962, roll: 1.977, pitch: 3.947
10:37:33.206 -> Acceleration in g's  X: -0.046, Y: 0.038, Z: 0.924, roll: 2.361, pitch: 2.842
10:37:33.240 -> Acceleration in g's  X: -0.063, Y: 0.050, Z: 0.980, roll: 2.908, pitch: 3.643
10:37:33.274 -> Acceleration in g's  X: -0.061, Y: 0.028, Z: 0.985, roll: 1.646, pitch: 3.515
10:37:33.308 -> Acceleration in g's  X: -0.064, Y: 0.041, Z: 0.978, roll: 2.403, pitch: 3.769
10:37:33.308 -> Acceleration in g's  X: -0.062, Y: 0.046, Z: 0.988, roll: 2.659, pitch: 3.558
10:37:33.342 -> Acceleration in g's  X: -0.065, Y: 0.030, Z: 0.971, roll: 1.786, pitch: 3.854
10:37:33.376 -> Acceleration in g's  X: -0.058, Y: 0.036, Z: 0.978, roll: 2.117, pitch: 3.371
10:37:33.410 -> Acceleration in g's  X: -0.069, Y: 0.026, Z: 1.018, roll: 1.484, pitch: 3.897
10:37:33.410 -> Acceleration in g's  X: -0.066, Y: 0.020, Z: 0.990, roll: 1.130, pitch: 3.836
10:37:33.444 -> Acceleration in g's  X: -0.063, Y: 0.039, Z: 1.000, roll: 2.237, pitch: 3.629
10:37:33.478 -> Acceleration in g's  X: -0.060, Y: 0.027, Z: 0.973, roll: 1.610, pitch: 3.503
10:37:33.512 -> Acceleration in g's  X: -0.068, Y: 0.041, Z: 1.013, roll: 2.319, pitch: 3.859
10:37:33.546 -> Acceleration in g's  X: -0.056, Y: 0.030, Z: 0.995, roll: 1.743, pitch: 3.200
10:37:33.546 -> Acceleration in g's  X: -0.068, Y: 0.032, Z: 0.985, roll: 1.873, pitch: 3.966
10:37:33.580 -> Acceleration in g's  X: -0.068, Y: 0.037, Z: 0.999, roll: 2.127, pitch: 3.912
10:37:33.613 -> Acceleration in g's  X: -0.061, Y: 0.028, Z: 1.011, roll: 1.605, pitch: 3.427
10:37:33.647 -> Acceleration in g's  X: -0.059, Y: 0.037, Z: 0.985, roll: 2.157, pitch: 3.401
10:37:33.647 -> Acceleration in g's  X: -0.063, Y: 0.048, Z: 0.990, roll: 2.767, pitch: 3.664
10:37:33.681 -> Acceleration in g's  X: -0.064, Y: 0.039, Z: 1.024, roll: 2.184, pitch: 3.598
10:37:33.716 -> Acceleration in g's  X: -0.063, Y: 0.041, Z: 0.965, roll: 2.434, pitch: 3.703
10:37:33.750 -> Acceleration in g's  X: -0.063, Y: 0.051, Z: 0.985, roll: 2.950, pitch: 3.625
10:37:33.750 -> Acceleration in g's  X: -0.059, Y: 0.045, Z: 1.019, roll: 2.525, pitch: 3.289
10:37:33.783 -> Acceleration in g's  X: -0.064, Y: 0.030, Z: 0.979, roll: 1.770, pitch: 3.763
10:37:33.817 -> Acceleration in g's  X: -0.065, Y: 0.026, Z: 0.964, roll: 1.567, pitch: 3.882
10:37:33.851 -> Acceleration in g's  X: -0.064, Y: 0.031, Z: 0.981, roll: 1.824, pitch: 3.755
10:37:33.851 -> Acceleration in g's  X: -0.059, Y: 0.038, Z: 0.985, roll: 2.214, pitch: 3.401
10:37:33.885 -> Acceleration in g's  X: -0.064, Y: 0.045, Z: 0.992, roll: 2.592, pitch: 3.713
10:37:33.919 -> Acceleration in g's  X: -0.058, Y: 0.054, Z: 0.994, roll: 3.093, pitch: 3.312
10:37:33.953 -> Acceleration in g's  X: -0.062, Y: 0.040, Z: 0.992, roll: 2.311, pitch: 3.545
10:37:33.953 -> Acceleration in g's  X: -0.066, Y: 0.027, Z: 0.993, roll: 1.577, pitch: 3.824
10:37:33.987 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.979, roll: 2.001, pitch: 3.596
10:37:34.021 -> Acceleration in g's  X: -0.059, Y: 0.038, Z: 0.977, roll: 2.233, pitch: 3.431
10:37:34.055 -> Acceleration in g's  X: -0.068, Y: 0.035, Z: 0.981, roll: 2.052, pitch: 3.982
10:37:34.089 -> Acceleration in g's  X: -0.050, Y: 0.035, Z: 0.974, roll: 2.068, pitch: 2.926
10:37:34.089 -> Acceleration in g's  X: -0.054, Y: 0.029, Z: 0.964, roll: 1.741, pitch: 3.188
10:37:34.123 -> Acceleration in g's  X: -0.068, Y: 0.041, Z: 0.989, roll: 2.374, pitch: 3.950
10:37:34.156 -> Acceleration in g's  X: -0.062, Y: 0.031, Z: 0.980, roll: 1.826, pitch: 3.589
10:37:34.190 -> Acceleration in g's  X: -0.057, Y: 0.026, Z: 0.970, roll: 1.558, pitch: 3.342
10:37:34.190 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.989, roll: 1.922, pitch: 3.613
10:37:34.224 -> Acceleration in g's  X: -0.069, Y: 0.038, Z: 1.033, roll: 2.111, pitch: 3.837
10:37:34.258 -> Acceleration in g's  X: -0.058, Y: 0.031, Z: 0.979, roll: 1.827, pitch: 3.365
10:37:34.292 -> Acceleration in g's  X: -0.064, Y: 0.031, Z: 1.040, roll: 1.721, pitch: 3.545
10:37:34.292 -> Acceleration in g's  X: -0.061, Y: 0.038, Z: 0.988, roll: 2.207, pitch: 3.503
10:37:34.327 -> Acceleration in g's  X: -0.065, Y: 0.043, Z: 1.023, roll: 2.404, pitch: 3.655
10:37:34.362 -> Acceleration in g's  X: -0.068, Y: 0.034, Z: 0.982, roll: 1.993, pitch: 3.978
10:37:34.395 -> Acceleration in g's  X: -0.068, Y: 0.039, Z: 0.991, roll: 2.257, pitch: 3.942
10:37:34.395 -> Acceleration in g's  X: -0.063, Y: 0.052, Z: 1.001, roll: 2.960, pitch: 3.568
10:37:34.429 -> Acceleration in g's  X: -0.066, Y: 0.028, Z: 0.986, roll: 1.645, pitch: 3.850
10:37:34.464 -> Acceleration in g's  X: -0.066, Y: 0.039, Z: 1.010, roll: 2.215, pitch: 3.760
10:37:34.499 -> Acceleration in g's  X: -0.066, Y: 0.032, Z: 0.986, roll: 1.871, pitch: 3.850
10:37:34.499 -> Acceleration in g's  X: -0.063, Y: 0.046, Z: 0.995, roll: 2.641, pitch: 3.590
10:37:34.533 -> Acceleration in g's  X: -0.067, Y: 0.031, Z: 1.000, roll: 1.790, pitch: 3.853
10:37:34.567 -> Acceleration in g's  X: -0.058, Y: 0.037, Z: 0.988, roll: 2.150, pitch: 3.334
10:37:34.602 -> Acceleration in g's  X: -0.056, Y: 0.042, Z: 0.984, roll: 2.443, pitch: 3.234
10:37:34.602 -> Acceleration in g's  X: -0.058, Y: 0.023, Z: 0.978, roll: 1.373, pitch: 3.372
10:37:34.636 -> Acceleration in g's  X: -0.066, Y: 0.037, Z: 0.988, roll: 2.150, pitch: 3.841
10:37:34.670 -> Acceleration in g's  X: -0.059, Y: 0.039, Z: 0.973, roll: 2.300, pitch: 3.445
10:37:34.704 -> Acceleration in g's  X: -0.073, Y: 0.035, Z: 1.000, roll: 2.013, pitch: 4.186
10:37:34.704 -> Acceleration in g's  X: -0.069, Y: 0.038, Z: 0.985, roll: 2.214, pitch: 4.022
10:37:34.738 -> Acceleration in g's  X: -0.060, Y: 0.043, Z: 0.978, roll: 2.517, pitch: 3.484
10:37:34.772 -> Acceleration in g's  X: -0.062, Y: 0.052, Z: 0.986, roll: 3.004, pitch: 3.564
10:37:34.806 -> Acceleration in g's  X: -0.068, Y: 0.029, Z: 0.988, roll: 1.698, pitch: 3.955
10:37:34.806 -> Acceleration in g's  X: -0.065, Y: 0.019, Z: 0.995, roll: 1.068, pitch: 3.761
10:37:34.841 -> Acceleration in g's  X: -0.061, Y: 0.038, Z: 0.979, roll: 2.227, pitch: 3.535
10:37:34.874 -> Acceleration in g's  X: -0.064, Y: 0.042, Z: 1.021, roll: 2.354, pitch: 3.607
10:37:34.909 -> Acceleration in g's  X: -0.053, Y: 0.032, Z: 0.965, roll: 1.913, pitch: 3.127
10:37:34.909 -> Acceleration in g's  X: -0.053, Y: 0.023, Z: 0.950, roll: 1.413, pitch: 3.176
10:37:34.943 -> Acceleration in g's  X: -0.066, Y: 0.036, Z: 1.014, roll: 2.041, pitch: 3.746
10:37:34.977 -> Acceleration in g's  X: -0.065, Y: 0.021, Z: 0.984, roll: 1.250, pitch: 3.802
10:37:35.011 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.976, roll: 2.007, pitch: 3.606
10:37:35.045 -> Acceleration in g's  X: -0.068, Y: 0.032, Z: 0.993, roll: 1.859, pitch: 3.935
10:37:35.045 -> Acceleration in g's  X: -0.063, Y: 0.030, Z: 0.991, roll: 1.749, pitch: 3.662
10:37:35.079 -> Acceleration in g's  X: -0.068, Y: 0.027, Z: 0.991, roll: 1.580, pitch: 3.944
10:37:35.113 -> Acceleration in g's  X: -0.062, Y: 0.048, Z: 1.003, roll: 2.732, pitch: 3.506
10:37:35.148 -> Acceleration in g's  X: -0.064, Y: 0.039, Z: 0.981, roll: 2.279, pitch: 3.754
10:37:35.148 -> Acceleration in g's  X: -0.067, Y: 0.030, Z: 0.982, roll: 1.765, pitch: 3.922
10:37:35.182 -> Acceleration in g's  X: -0.066, Y: 0.028, Z: 0.976, roll: 1.663, pitch: 3.892
10:37:35.216 -> Acceleration in g's  X: -0.055, Y: 0.040, Z: 0.989, roll: 2.318, pitch: 3.162
10:37:35.249 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.984, roll: 2.045, pitch: 3.687
10:37:35.249 -> Acceleration in g's  X: -0.061, Y: 0.044, Z: 0.976, roll: 2.579, pitch: 3.548
10:37:35.283 -> Acceleration in g's  X: -0.063, Y: 0.045, Z: 1.005, roll: 2.560, pitch: 3.555
10:37:35.317 -> Acceleration in g's  X: -0.063, Y: 0.040, Z: 0.976, roll: 2.350, pitch: 3.720
10:37:35.351 -> Acceleration in g's  X: -0.063, Y: 0.027, Z: 0.970, roll: 1.615, pitch: 3.744
10:37:35.351 -> Acceleration in g's  X: -0.051, Y: 0.035, Z: 0.984, roll: 2.045, pitch: 2.951
10:37:35.385 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.995, roll: 1.911, pitch: 3.648
10:37:35.420 -> Acceleration in g's  X: -0.054, Y: 0.035, Z: 0.982, roll: 2.049, pitch: 3.127
10:37:35.453 -> Acceleration in g's  X: -0.065, Y: 0.026, Z: 0.983, roll: 1.536, pitch: 3.805
10:37:35.453 -> Acceleration in g's  X: -0.066, Y: 0.032, Z: 0.988, roll: 1.868, pitch: 3.842
10:37:35.487 -> Acceleration in g's  X: -0.063, Y: 0.032, Z: 0.986, roll: 1.871, pitch: 3.680
10:37:35.521 -> Acceleration in g's  X: -0.054, Y: 0.040, Z: 0.984, roll: 2.329, pitch: 3.121
10:37:35.555 -> Acceleration in g's  X: -0.069, Y: 0.040, Z: 0.999, roll: 2.295, pitch: 3.967
10:37:35.589 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.998, roll: 1.961, pitch: 3.470
10:37:35.589 -> Acceleration in g's  X: -0.070, Y: 0.038, Z: 1.001, roll: 2.179, pitch: 4.015
10:37:35.624 -> Acceleration in g's  X: -0.065, Y: 0.029, Z: 1.003, roll: 1.673, pitch: 3.731
10:37:35.657 -> Acceleration in g's  X: -0.063, Y: 0.044, Z: 0.993, roll: 2.534, pitch: 3.597
10:37:35.691 -> Acceleration in g's  X: -0.057, Y: 0.030, Z: 1.003, roll: 1.729, pitch: 3.231
10:37:35.691 -> Acceleration in g's  X: -0.066, Y: 0.034, Z: 0.962, roll: 2.035, pitch: 3.947
10:37:35.725 -> Acceleration in g's  X: -0.064, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.711
10:37:35.760 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.979, roll: 2.001, pitch: 3.652
10:37:35.795 -> Acceleration in g's  X: -0.060, Y: 0.032, Z: 0.971, roll: 1.901, pitch: 3.510
10:37:35.795 -> Acceleration in g's  X: -0.063, Y: 0.041, Z: 0.980, roll: 2.395, pitch: 3.644
10:37:35.830 -> Acceleration in g's  X: -0.063, Y: 0.043, Z: 1.024, roll: 2.402, pitch: 3.488
10:37:35.864 -> Acceleration in g's  X: -0.069, Y: 0.021, Z: 0.964, roll: 1.277, pitch: 4.113
10:37:35.899 -> Acceleration in g's  X: -0.065, Y: 0.027, Z: 0.988, roll: 1.585, pitch: 3.786
10:37:35.899 -> Acceleration in g's  X: -0.061, Y: 0.047, Z: 1.024, roll: 2.620, pitch: 3.379
10:37:35.932 -> Acceleration in g's  X: -0.063, Y: 0.046, Z: 0.976, roll: 2.694, pitch: 3.662
10:37:35.965 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.968, roll: 2.138, pitch: 3.635
10:37:35.999 -> Acceleration in g's  X: -0.063, Y: 0.038, Z: 0.966, roll: 2.258, pitch: 3.700
10:37:35.999 -> Acceleration in g's  X: -0.061, Y: 0.048, Z: 1.001, roll: 2.737, pitch: 3.458
10:37:36.033 -> Acceleration in g's  X: -0.062, Y: 0.024, Z: 0.970, roll: 1.442, pitch: 3.629
10:37:36.067 -> Acceleration in g's  X: -0.062, Y: 0.052, Z: 1.009, roll: 2.937, pitch: 3.485
10:37:36.102 -> Acceleration in g's  X: -0.073, Y: 0.038, Z: 1.004, roll: 2.173, pitch: 4.170
10:37:36.102 -> Acceleration in g's  X: -0.060, Y: 0.046, Z: 0.974, roll: 2.699, pitch: 3.497
10:37:36.136 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.974, roll: 2.068, pitch: 3.613
10:37:36.170 -> Acceleration in g's  X: -0.057, Y: 0.039, Z: 0.979, roll: 2.286, pitch: 3.310
10:37:36.203 -> Acceleration in g's  X: -0.057, Y: 0.037, Z: 0.977, roll: 2.176, pitch: 3.317
10:37:36.203 -> Acceleration in g's  X: -0.057, Y: 0.042, Z: 0.968, roll: 2.485, pitch: 3.346
10:37:36.237 -> Acceleration in g's  X: -0.074, Y: 0.040, Z: 1.010, roll: 2.271, pitch: 4.200
10:37:36.271 -> Acceleration in g's  X: -0.066, Y: 0.029, Z: 1.016, roll: 1.652, pitch: 3.739
10:37:36.305 -> Acceleration in g's  X: -0.061, Y: 0.026, Z: 0.957, roll: 1.578, pitch: 3.619
10:37:36.339 -> Acceleration in g's  X: -0.061, Y: 0.032, Z: 0.974, roll: 1.896, pitch: 3.557
10:37:36.339 -> Acceleration in g's  X: -0.067, Y: 0.044, Z: 1.002, roll: 2.511, pitch: 3.844
10:37:36.374 -> Acceleration in g's  X: -0.058, Y: 0.041, Z: 0.992, roll: 2.367, pitch: 3.321
10:37:36.408 -> Acceleration in g's  X: -0.074, Y: 0.038, Z: 0.995, roll: 2.192, pitch: 4.262
10:37:36.442 -> Acceleration in g's  X: -0.066, Y: 0.021, Z: 1.009, roll: 1.165, pitch: 3.765
10:37:36.442 -> Acceleration in g's  X: -0.063, Y: 0.043, Z: 1.006, roll: 2.446, pitch: 3.608
10:37:36.476 -> Acceleration in g's  X: -0.059, Y: 0.021, Z: 0.962, roll: 1.279, pitch: 3.485
10:37:36.511 -> Acceleration in g's  X: -0.062, Y: 0.039, Z: 0.985, roll: 2.270, pitch: 3.570
10:37:36.545 -> Acceleration in g's  X: -0.053, Y: 0.037, Z: 0.999, roll: 2.127, pitch: 3.020
10:37:36.545 -> Acceleration in g's  X: -0.069, Y: 0.037, Z: 0.989, roll: 2.148, pitch: 4.006
10:37:36.579 -> Acceleration in g's  X: -0.064, Y: 0.037, Z: 0.995, roll: 2.136, pitch: 3.703
10:37:36.614 -> Acceleration in g's  X: -0.062, Y: 0.038, Z: 1.009, roll: 2.162, pitch: 3.488
10:37:36.648 -> Acceleration in g's  X: -0.067, Y: 0.023, Z: 1.019, roll: 1.318, pitch: 3.784
10:37:36.648 -> Acceleration in g's  X: -0.063, Y: 0.042, Z: 0.984, roll: 2.443, pitch: 3.686
10:37:36.682 -> Acceleration in g's  X: -0.058, Y: 0.026, Z: 0.978, roll: 1.545, pitch: 3.372
10:37:36.716 -> Acceleration in g's  X: -0.059, Y: 0.043, Z: 0.972, roll: 2.532, pitch: 3.447
10:37:36.749 -> Acceleration in g's  X: -0.065, Y: 0.030, Z: 0.990, roll: 1.751, pitch: 3.779
10:37:36.749 -> Acceleration in g's  X: -0.061, Y: 0.047, Z: 0.988, roll: 2.716, pitch: 3.502
10:37:36.783 -> Acceleration in g's  X: -0.071, Y: 0.033, Z: 1.005, roll: 1.892, pitch: 4.056
10:37:36.816 -> Acceleration in g's  X: -0.073, Y: 0.026, Z: 1.000, roll: 1.510, pitch: 4.188
10:37:36.849 -> Acceleration in g's  X: -0.060, Y: 0.040, Z: 0.998, roll: 2.297, pitch: 3.413
10:37:36.849 -> Acceleration in g's  X: -0.059, Y: 0.036, Z: 0.980, roll: 2.111, pitch: 3.418
10:37:36.882 -> Acceleration in g's  X: -0.069, Y: 0.034, Z: 0.982, roll: 1.993, pitch: 4.035
10:37:36.916 -> Acceleration in g's  X: -0.061, Y: 0.037, Z: 1.003, roll: 2.119, pitch: 3.452
10:37:36.950 -> Acceleration in g's  X: -0.068, Y: 0.030, Z: 0.984, roll: 1.762, pitch: 3.971
10:37:36.984 -> Acceleration in g's  X: -0.073, Y: 0.044, Z: 1.013, roll: 2.485, pitch: 4.133
10:37:36.984 -> Acceleration in g's  X: -0.054, Y: 0.035, Z: 0.990, roll: 2.033, pitch: 3.103
10:37:37.019 -> Acceleration in g's  X: -0.055, Y: 0.043, Z: 0.997, roll: 2.468, pitch: 3.137
10:37:37.053 -> Acceleration in g's  X: -0.057, Y: 0.024, Z: 0.956, roll: 1.463, pitch: 3.389
10:37:37.088 -> Acceleration in g's  X: -0.066, Y: 0.037, Z: 0.992, roll: 2.142, pitch: 3.826
10:37:37.088 -> Acceleration in g's  X: -0.063, Y: 0.029, Z: 0.981, roll: 1.710, pitch: 3.699
10:37:37.122 -> Acceleration in g's  X: -0.066, Y: 0.042, Z: 0.997, roll: 2.412, pitch: 3.807
10:37:37.157 -> Acceleration in g's  X: -0.066, Y: 0.039, Z: 0.980, roll: 2.281, pitch: 3.872
10:37:37.191 -> Acceleration in g's  X: -0.058, Y: 0.025, Z: 1.001, roll: 1.453, pitch: 3.293
