47:27 l2
then l4
10:45:00.786 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.010
10:45:52.399 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 1.000, roll: -1.510, pitch: -0.895
10:45:52.434 -> Acceleration in g's  X: 0.021, Y: -0.028, Z: 0.981, roll: -1.653, pitch: -1.197
10:45:52.434 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.992, roll: -1.579, pitch: -0.958
10:45:52.468 -> Acceleration in g's  X: 0.017, Y: -0.029, Z: 0.996, roll: -1.685, pitch: -0.954
10:45:52.501 -> Acceleration in g's  X: 0.016, Y: -0.027, Z: 0.994, roll: -1.576, pitch: -0.900
10:45:52.536 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.997, roll: -1.571, pitch: -1.010
10:45:52.570 -> Acceleration in g's  X: 0.017, Y: -0.024, Z: 0.996, roll: -1.404, pitch: -0.955
10:45:52.570 -> Acceleration in g's  X: 0.019, Y: -0.027, Z: 0.995, roll: -1.574, pitch: -1.068
10:45:52.604 -> Acceleration in g's  X: 0.014, Y: -0.026, Z: 0.993, roll: -1.521, pitch: -0.788
10:45:52.638 -> Acceleration in g's  X: 0.016, Y: -0.030, Z: 0.998, roll: -1.737, pitch: -0.897
10:45:52.672 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 0.999, roll: -1.624, pitch: -0.896
10:45:52.672 -> Acceleration in g's  X: 0.017, Y: -0.029, Z: 1.005, roll: -1.670, pitch: -0.946
10:45:52.705 -> Acceleration in g's  X: 0.019, Y: -0.030, Z: 0.990, roll: -1.751, pitch: -1.073
10:45:52.740 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 1.002, roll: -1.563, pitch: -1.005
10:45:52.774 -> Acceleration in g's  X: 0.013, Y: -0.028, Z: 1.008, roll: -1.610, pitch: -0.721
10:45:52.774 -> Acceleration in g's  X: 0.009, Y: -0.027, Z: 1.000, roll: -1.566, pitch: -0.503
10:45:52.808 -> Acceleration in g's  X: 0.021, Y: -0.027, Z: 0.997, roll: -1.571, pitch: -1.178
10:45:52.843 -> Acceleration in g's  X: 0.019, Y: -0.026, Z: 0.998, roll: -1.513, pitch: -1.065
10:45:52.877 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.993, roll: -1.577, pitch: -0.957
10:45:52.877 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.994, roll: -1.519, pitch: -0.900
10:45:52.910 -> Acceleration in g's  X: 0.014, Y: -0.025, Z: 0.999, roll: -1.456, pitch: -0.784
10:45:52.945 -> Acceleration in g's  X: 0.009, Y: -0.026, Z: 0.999, roll: -1.512, pitch: -0.504
10:45:52.979 -> Acceleration in g's  X: 0.019, Y: -0.028, Z: 0.997, roll: -1.627, pitch: -1.066
10:45:52.979 -> Acceleration in g's  X: 0.020, Y: -0.026, Z: 0.997, roll: -1.515, pitch: -1.122
10:45:53.012 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.998, roll: -1.513, pitch: -0.897
10:45:53.047 -> Acceleration in g's  X: 0.013, Y: -0.029, Z: 1.004, roll: -1.672, pitch: -0.724
10:45:53.081 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.996, roll: -1.685, pitch: -1.011
10:45:53.081 -> Acceleration in g's  X: 0.009, Y: -0.029, Z: 0.996, roll: -1.685, pitch: -0.505
10:45:53.115 -> Acceleration in g's  X: 0.017, Y: -0.031, Z: 0.999, roll: -1.792, pitch: -0.952
10:45:53.150 -> Acceleration in g's  X: 0.020, Y: -0.027, Z: 1.007, roll: -1.556, pitch: -1.111
10:45:53.185 -> Acceleration in g's  X: 0.016, Y: -0.025, Z: 0.989, roll: -1.470, pitch: -0.905
10:45:53.185 -> Acceleration in g's  X: 0.014, Y: -0.028, Z: 1.002, roll: -1.619, pitch: -0.781
10:45:53.219 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.997, roll: -1.571, pitch: -0.954
10:45:53.253 -> Acceleration in g's  X: 0.016, Y: -0.024, Z: 0.994, roll: -1.407, pitch: -0.900
10:45:53.287 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.993, roll: -1.521, pitch: -0.957
10:45:53.287 -> Acceleration in g's  X: 0.022, Y: -0.026, Z: 1.000, roll: -1.510, pitch: -1.286
10:45:53.321 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.996, roll: -1.572, pitch: -0.954
10:45:53.355 -> Acceleration in g's  X: 0.017, Y: -0.023, Z: 0.993, roll: -1.352, pitch: -0.957
10:45:53.389 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.999, roll: -1.512, pitch: -0.952
10:45:53.424 -> Acceleration in g's  X: 0.016, Y: -0.030, Z: 1.001, roll: -1.732, pitch: -0.894
10:45:53.424 -> Acceleration in g's  X: 0.014, Y: -0.029, Z: 1.000, roll: -1.678, pitch: -0.783
10:45:53.458 -> Acceleration in g's  X: 0.022, Y: -0.026, Z: 0.982, roll: -1.537, pitch: -1.309
10:45:53.493 -> Acceleration in g's  X: 0.015, Y: -0.029, Z: 1.007, roll: -1.667, pitch: -0.833
10:45:53.493 -> Acceleration in g's  X: 0.013, Y: -0.028, Z: 1.005, roll: -1.614, pitch: -0.724
10:45:53.527 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.991, roll: -1.524, pitch: -0.959
10:45:53.562 -> Acceleration in g's  X: 0.016, Y: -0.032, Z: 1.005, roll: -1.837, pitch: -0.890
10:45:53.597 -> Acceleration in g's  X: 0.015, Y: -0.029, Z: 1.010, roll: -1.662, pitch: -0.831
10:45:53.597 -> Acceleration in g's  X: 0.020, Y: -0.028, Z: 0.988, roll: -1.641, pitch: -1.132
10:45:53.631 -> Acceleration in g's  X: 0.016, Y: -0.025, Z: 1.001, roll: -1.453, pitch: -0.894
10:45:53.666 -> Acceleration in g's  X: 0.013, Y: -0.027, Z: 1.006, roll: -1.557, pitch: -0.723
10:45:53.700 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.994, roll: -1.519, pitch: -0.900
10:45:53.733 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 0.998, roll: -1.625, pitch: -0.897
10:45:53.733 -> Acceleration in g's  X: 0.018, Y: -0.022, Z: 0.999, roll: -1.288, pitch: -1.008
10:45:53.768 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.997, roll: -1.571, pitch: -1.010
10:45:53.802 -> Acceleration in g's  X: 0.015, Y: -0.022, Z: 0.990, roll: -1.299, pitch: -0.847
10:45:53.836 -> Acceleration in g's  X: 0.014, Y: -0.027, Z: 0.998, roll: -1.569, pitch: -0.785
10:45:53.836 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.998, roll: -1.681, pitch: -1.009
10:45:53.869 -> Acceleration in g's  X: 0.014, Y: -0.031, Z: 0.994, roll: -1.800, pitch: -0.788
10:45:53.904 -> Acceleration in g's  X: 0.022, Y: -0.022, Z: 0.995, roll: -1.293, pitch: -1.293
10:45:53.939 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 1.003, roll: -1.840, pitch: -1.059
10:45:53.939 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.999, roll: -1.792, pitch: -1.008
10:45:53.972 -> Acceleration in g's  X: 0.015, Y: -0.026, Z: 0.994, roll: -1.519, pitch: -0.844
10:45:54.006 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 1.002, roll: -1.786, pitch: -1.005
10:45:54.040 -> Acceleration in g's  X: 0.011, Y: -0.032, Z: 1.005, roll: -1.837, pitch: -0.612
10:45:54.040 -> Acceleration in g's  X: 0.018, Y: -0.024, Z: 0.991, roll: -1.411, pitch: -1.016
10:45:54.073 -> Acceleration in g's  X: 0.017, Y: -0.028, Z: 1.004, roll: -1.616, pitch: -0.947
10:45:54.107 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.996, roll: -1.685, pitch: -1.011
10:45:54.140 -> Acceleration in g's  X: 0.016, Y: -0.025, Z: 0.993, roll: -1.464, pitch: -0.901
10:45:54.140 -> Acceleration in g's  X: 0.017, Y: -0.029, Z: 1.002, roll: -1.675, pitch: -0.949
10:45:54.175 -> Acceleration in g's  X: 0.008, Y: -0.029, Z: 1.008, roll: -1.665, pitch: -0.444
10:45:54.208 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.992, roll: -1.522, pitch: -0.958
10:45:54.242 -> Acceleration in g's  X: 0.023, Y: -0.023, Z: 0.990, roll: -1.356, pitch: -1.355
10:45:54.276 -> Acceleration in g's  X: 0.015, Y: -0.028, Z: 0.996, roll: -1.629, pitch: -0.842
10:45:54.276 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.995, roll: -1.574, pitch: -0.955
10:45:54.310 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.991, roll: -1.862, pitch: -1.072
10:45:54.344 -> Acceleration in g's  X: 0.009, Y: -0.024, Z: 0.998, roll: -1.401, pitch: -0.504
10:45:54.379 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 1.002, roll: -1.563, pitch: -0.949
10:45:54.379 -> Acceleration in g's  X: 0.026, Y: -0.027, Z: 0.994, roll: -1.576, pitch: -1.519
10:45:54.412 -> Acceleration in g's  X: 0.013, Y: -0.027, Z: 1.005, roll: -1.559, pitch: -0.724
10:45:54.448 -> Acceleration in g's  X: 0.015, Y: -0.028, Z: 1.002, roll: -1.619, pitch: -0.837
10:45:54.482 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.997, roll: -1.795, pitch: -1.010
10:45:54.482 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.988, roll: -1.585, pitch: -1.019
10:45:54.516 -> Acceleration in g's  X: 0.014, Y: -0.026, Z: 1.005, roll: -1.503, pitch: -0.779
10:45:54.551 -> Acceleration in g's  X: 0.022, Y: -0.027, Z: 1.002, roll: -1.563, pitch: -1.284
10:45:54.584 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.990, roll: -1.525, pitch: -0.960
10:45:54.584 -> Acceleration in g's  X: 0.015, Y: -0.026, Z: 1.005, roll: -1.503, pitch: -0.835
10:45:54.618 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 1.008, roll: -1.665, pitch: -0.888
10:45:54.653 -> Acceleration in g's  X: 0.017, Y: -0.028, Z: 0.990, roll: -1.638, pitch: -0.960
10:45:54.687 -> Acceleration in g's  X: 0.010, Y: -0.026, Z: 0.991, roll: -1.524, pitch: -0.564
10:45:54.687 -> Acceleration in g's  X: 0.023, Y: -0.027, Z: 0.993, roll: -1.577, pitch: -1.351
10:45:54.721 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.991, roll: -1.580, pitch: -1.016
10:45:54.755 -> Acceleration in g's  X: 0.014, Y: -0.029, Z: 0.990, roll: -1.695, pitch: -0.791
10:45:54.789 -> Acceleration in g's  X: 0.016, Y: -0.024, Z: 1.002, roll: -1.396, pitch: -0.893
10:45:54.789 -> Acceleration in g's  X: 0.015, Y: -0.029, Z: 0.997, roll: -1.683, pitch: -0.841
10:45:54.822 -> Acceleration in g's  X: 0.015, Y: -0.028, Z: 0.992, roll: -1.635, pitch: -0.845
10:45:54.856 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.994, roll: -1.576, pitch: -0.956
10:45:54.891 -> Acceleration in g's  X: 0.019, Y: -0.027, Z: 0.998, roll: -1.569, pitch: -1.065
10:45:54.891 -> Acceleration in g's  X: 0.016, Y: -0.030, Z: 0.999, roll: -1.736, pitch: -0.896
10:45:54.925 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.989, roll: -1.640, pitch: -1.018
10:45:54.959 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 1.000, roll: -1.622, pitch: -0.895
10:45:54.994 -> Acceleration in g's  X: 0.017, Y: -0.029, Z: 1.003, roll: -1.673, pitch: -0.948
10:45:54.994 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.987, roll: -1.586, pitch: -0.963
10:45:55.027 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.987, roll: -1.700, pitch: -1.020
10:45:55.060 -> Acceleration in g's  X: 0.015, Y: -0.029, Z: 1.001, roll: -1.676, pitch: -0.838
10:45:55.094 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 0.987, roll: -1.473, pitch: -0.963
10:45:55.129 -> Acceleration in g's  X: 0.015, Y: -0.024, Z: 0.988, roll: -1.415, pitch: -0.849
10:45:55.129 -> Acceleration in g's  X: 0.023, Y: -0.026, Z: 1.003, roll: -1.506, pitch: -1.338
10:45:55.162 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.998, roll: -1.625, pitch: -1.009
10:45:55.195 -> Acceleration in g's  X: 0.015, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -0.842
10:45:55.230 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 1.006, roll: -1.446, pitch: -0.945
10:45:55.230 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.993, roll: -1.577, pitch: -0.957
10:45:55.264 -> Acceleration in g's  X: 0.013, Y: -0.027, Z: 1.000, roll: -1.566, pitch: -0.727
10:45:55.297 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 1.001, roll: -1.676, pitch: -0.894
10:45:55.331 -> Acceleration in g's  X: 0.018, Y: -0.025, Z: 0.995, roll: -1.462, pitch: -1.012
10:45:55.331 -> Acceleration in g's  X: 0.010, Y: -0.029, Z: 1.004, roll: -1.672, pitch: -0.557
10:45:55.364 -> Acceleration in g's  X: 0.015, Y: -0.024, Z: 1.001, roll: -1.397, pitch: -0.838
10:45:55.399 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.996, roll: -1.516, pitch: -0.898
10:45:55.432 -> Acceleration in g's  X: 0.012, Y: -0.028, Z: 1.006, roll: -1.613, pitch: -0.667
10:45:55.467 -> Acceleration in g's  X: 0.015, Y: -0.032, Z: 1.002, roll: -1.842, pitch: -0.837
10:45:55.467 -> Acceleration in g's  X: 0.024, Y: -0.027, Z: 0.989, roll: -1.583, pitch: -1.413
10:45:55.502 -> Acceleration in g's  X: 0.012, Y: -0.030, Z: 0.999, roll: -1.736, pitch: -0.672
10:45:55.536 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 0.989, roll: -1.470, pitch: -0.961
10:45:55.570 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.995, roll: -1.630, pitch: -1.012
10:45:55.570 -> Acceleration in g's  X: 0.018, Y: -0.026, Z: 0.993, roll: -1.521, pitch: -1.014
10:45:55.603 -> Acceleration in g's  X: 0.019, Y: -0.028, Z: 0.994, roll: -1.632, pitch: -1.069
10:45:55.637 -> Acceleration in g's  X: 0.023, Y: -0.024, Z: 1.000, roll: -1.399, pitch: -1.342
10:45:55.672 -> Acceleration in g's  X: 0.019, Y: -0.026, Z: 0.999, roll: -1.512, pitch: -1.064
10:45:55.672 -> Acceleration in g's  X: 0.015, Y: -0.023, Z: 0.991, roll: -1.355, pitch: -0.846
10:45:55.705 -> Acceleration in g's  X: 0.017, Y: -0.029, Z: 0.998, roll: -1.681, pitch: -0.953
10:45:55.740 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.999, roll: -1.680, pitch: -1.008
10:45:55.774 -> Acceleration in g's  X: 0.018, Y: -0.024, Z: 0.986, roll: -1.418, pitch: -1.021
10:45:55.774 -> Acceleration in g's  X: 0.019, Y: -0.023, Z: 1.001, roll: -1.341, pitch: -1.062
10:45:55.809 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 1.005, roll: -1.614, pitch: -0.890
10:45:55.844 -> Acceleration in g's  X: 0.010, Y: -0.028, Z: 0.992, roll: -1.635, pitch: -0.564
10:45:55.879 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 1.003, roll: -1.673, pitch: -0.892
10:45:55.879 -> Acceleration in g's  X: 0.016, Y: -0.031, Z: 1.002, roll: -1.786, pitch: -0.893
10:45:55.913 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.989, roll: -1.583, pitch: -1.018
10:45:55.948 -> Acceleration in g's  X: 0.019, Y: -0.025, Z: 1.002, roll: -1.452, pitch: -1.061
10:45:55.981 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 1.003, roll: -1.506, pitch: -0.892
10:45:55.981 -> Acceleration in g's  X: 0.011, Y: -0.030, Z: 0.995, roll: -1.743, pitch: -0.618
10:45:56.016 -> Acceleration in g's  X: 0.014, Y: -0.027, Z: 0.993, roll: -1.577, pitch: -0.788
10:45:56.050 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.997, roll: -1.627, pitch: -1.010
10:45:56.084 -> Acceleration in g's  X: 0.021, Y: -0.027, Z: 0.995, roll: -1.574, pitch: -1.180
10:45:56.084 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.999, roll: -1.624, pitch: -1.008
10:45:56.118 -> Acceleration in g's  X: 0.018, Y: -0.024, Z: 0.992, roll: -1.410, pitch: -1.015
10:45:56.151 -> Acceleration in g's  X: 0.013, Y: -0.027, Z: 0.994, roll: -1.576, pitch: -0.731
10:45:56.185 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 1.000, roll: -1.678, pitch: -0.895
10:45:56.185 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 0.990, roll: -1.469, pitch: -0.960
10:45:56.219 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.999, roll: -1.568, pitch: -1.008
10:45:56.252 -> Acceleration in g's  X: 0.016, Y: -0.030, Z: 1.004, roll: -1.727, pitch: -0.891
10:45:56.285 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 0.989, roll: -1.640, pitch: -0.905
10:45:56.319 -> Acceleration in g's  X: 0.013, Y: -0.030, Z: 1.001, roll: -1.732, pitch: -0.726
10:45:56.319 -> Acceleration in g's  X: 0.014, Y: -0.033, Z: 1.002, roll: -1.898, pitch: -0.781
10:45:56.354 -> Acceleration in g's  X: 0.019, Y: -0.028, Z: 0.992, roll: -1.635, pitch: -1.071
10:45:56.389 -> Acceleration in g's  X: 0.017, Y: -0.028, Z: 1.004, roll: -1.616, pitch: -0.947
10:45:56.423 -> Acceleration in g's  X: 0.016, Y: -0.030, Z: 1.003, roll: -1.729, pitch: -0.892
10:45:56.423 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.996, roll: -1.516, pitch: -0.898
10:45:56.458 -> Acceleration in g's  X: 0.017, Y: -0.024, Z: 0.995, roll: -1.405, pitch: -0.955
10:45:56.493 -> Acceleration in g's  X: 0.016, Y: -0.028, Z: 0.999, roll: -1.624, pitch: -0.896
10:45:56.526 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.991, roll: -1.580, pitch: -1.016
10:45:56.526 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.995, roll: -1.574, pitch: -0.955
10:45:56.560 -> Acceleration in g's  X: 0.015, Y: -0.026, Z: 1.000, roll: -1.510, pitch: -0.839
10:45:56.593 -> Acceleration in g's  X: 0.015, Y: -0.023, Z: 0.994, roll: -1.351, pitch: -0.844
10:45:56.629 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 0.995, roll: -1.462, pitch: -0.955
10:45:56.629 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 0.998, roll: -1.569, pitch: -1.009
10:45:56.663 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 0.999, roll: -1.680, pitch: -0.896
10:45:56.698 -> Acceleration in g's  X: 0.017, Y: -0.030, Z: 1.001, roll: -1.732, pitch: -0.950
10:45:56.732 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.989, roll: -1.640, pitch: -1.018
10:45:56.732 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.999, roll: -1.512, pitch: -0.896
10:45:56.765 -> Acceleration in g's  X: 0.018, Y: -0.029, Z: 0.995, roll: -1.686, pitch: -1.012
10:45:56.799 -> Acceleration in g's  X: 0.020, Y: -0.027, Z: 0.986, roll: -1.588, pitch: -1.134
10:45:56.832 -> Acceleration in g's  X: 0.018, Y: -0.024, Z: 0.991, roll: -1.411, pitch: -1.016
10:45:56.832 -> Acceleration in g's  X: 0.016, Y: -0.029, Z: 1.000, roll: -1.678, pitch: -0.895
10:45:56.867 -> Acceleration in g's  X: 0.015, Y: -0.028, Z: 0.984, roll: -1.648, pitch: -0.852
10:45:56.900 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.993, roll: -1.577, pitch: -0.957
10:45:56.935 -> Acceleration in g's  X: 0.017, Y: -0.030, Z: 1.000, roll: -1.734, pitch: -0.951
10:45:56.935 -> Acceleration in g's  X: 0.021, Y: -0.022, Z: 0.985, roll: -1.306, pitch: -1.192
10:45:56.968 -> Acceleration in g's  X: 0.019, Y: -0.024, Z: 0.994, roll: -1.407, pitch: -1.069
10:45:57.002 -> Acceleration in g's  X: 0.016, Y: -0.031, Z: 1.008, roll: -1.776, pitch: -0.888
10:45:57.035 -> Acceleration in g's  X: 0.017, Y: -0.025, Z: 0.998, roll: -1.457, pitch: -0.953
10:45:57.069 -> Acceleration in g's  X: 0.018, Y: -0.027, Z: 1.002, roll: -1.563, pitch: -1.005
10:45:57.069 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.988, roll: -1.528, pitch: -0.962
10:45:57.104 -> Acceleration in g's  X: 0.015, Y: -0.029, Z: 1.002, roll: -1.675, pitch: -0.837
10:45:57.137 -> Acceleration in g's  X: 0.015, Y: -0.034, Z: 0.992, roll: -1.973, pitch: -0.845
10:45:57.170 -> Acceleration in g's  X: 0.016, Y: -0.026, Z: 0.998, roll: -1.513, pitch: -0.897
10:45:57.170 -> Acceleration in g's  X: 0.012, Y: -0.026, Z: 0.997, roll: -1.515, pitch: -0.673
10:45:57.204 -> Acceleration in g's  X: 0.013, Y: -0.029, Z: 0.991, roll: -1.693, pitch: -0.733
10:45:57.238 -> Acceleration in g's  X: 0.018, Y: -0.024, Z: 0.989, roll: -1.414, pitch: -1.018
10:45:57.272 -> Acceleration in g's  X: 0.017, Y: -0.036, Z: 1.011, roll: -2.047, pitch: -0.940
10:45:57.272 -> Acceleration in g's  X: 0.015, Y: -0.022, Z: 0.988, roll: -1.302, pitch: -0.849
10:45:57.307 -> Acceleration in g's  X: 0.019, Y: -0.028, Z: 0.997, roll: -1.627, pitch: -1.066
10:45:57.341 -> Acceleration in g's  X: 0.016, Y: -0.019, Z: 0.999, roll: -1.064, pitch: -0.896
10:45:57.375 -> Acceleration in g's  X: 0.020, Y: -0.028, Z: 0.990, roll: -1.638, pitch: -1.129
10:45:57.375 -> Acceleration in g's  X: 0.020, Y: -0.021, Z: 0.992, roll: -1.184, pitch: -1.127
10:45:57.411 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 1.005, roll: -1.948, pitch: -0.946
10:45:57.445 -> Acceleration in g's  X: 0.015, Y: -0.025, Z: 0.998, roll: -1.457, pitch: -0.841
10:45:57.479 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.010
10:45:57.479 -> Acceleration in g's  X: 0.017, Y: -0.017, Z: 0.990, roll: -0.960, pitch: -0.960
10:45:57.513 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.069
10:45:57.547 -> Acceleration in g's  X: 0.018, Y: -0.014, Z: 0.995, roll: -0.787, pitch: -1.012
10:45:57.581 -> Acceleration in g's  X: 0.014, Y: -0.037, Z: 0.999, roll: -2.127, pitch: -0.784
10:45:57.615 -> Acceleration in g's  X: 0.017, Y: -0.031, Z: 1.000, roll: -1.790, pitch: -0.951
10:45:57.615 -> Acceleration in g's  X: 0.016, Y: -0.015, Z: 0.994, roll: -0.844, pitch: -0.900
10:45:57.649 -> Acceleration in g's  X: 0.019, Y: -0.029, Z: 0.998, roll: -1.681, pitch: -1.065
10:45:57.682 -> Acceleration in g's  X: 0.018, Y: -0.015, Z: 0.993, roll: -0.845, pitch: -1.014
10:45:57.717 -> Acceleration in g's  X: 0.015, Y: -0.035, Z: 0.997, roll: -2.019, pitch: -0.841
10:45:57.717 -> Acceleration in g's  X: 0.016, Y: -0.019, Z: 0.995, roll: -1.068, pitch: -0.899
10:45:57.752 -> Acceleration in g's  X: 0.017, Y: -0.023, Z: 0.997, roll: -1.347, pitch: -0.954
10:45:57.786 -> Acceleration in g's  X: 0.018, Y: -0.036, Z: 1.000, roll: -2.069, pitch: -1.006
10:45:57.820 -> Acceleration in g's  X: 0.016, Y: -0.022, Z: 0.992, roll: -1.297, pitch: -0.902
10:45:57.820 -> Acceleration in g's  X: 0.016, Y: -0.041, Z: 1.000, roll: -2.349, pitch: -0.894
10:45:57.855 -> Acceleration in g's  X: 0.016, Y: -0.035, Z: 0.998, roll: -2.017, pitch: -0.896
10:45:57.889 -> Acceleration in g's  X: 0.017, Y: -0.008, Z: 0.990, roll: -0.452, pitch: -0.960
10:45:57.923 -> Acceleration in g's  X: 0.018, Y: -0.046, Z: 0.997, roll: -2.636, pitch: -1.009
10:45:57.923 -> Acceleration in g's  X: 0.017, Y: -0.020, Z: 0.996, roll: -1.123, pitch: -0.955
10:45:57.956 -> Acceleration in g's  X: 0.019, Y: -0.020, Z: 0.997, roll: -1.122, pitch: -1.066
10:45:57.990 -> Acceleration in g's  X: 0.015, Y: -0.031, Z: 1.000, roll: -1.790, pitch: -0.839
10:45:58.024 -> Acceleration in g's  X: 0.017, Y: -0.024, Z: 1.001, roll: -1.397, pitch: -0.950
10:45:58.024 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 0.996, roll: -1.572, pitch: -0.954
10:45:58.057 -> Acceleration in g's  X: 0.017, Y: -0.026, Z: 0.992, roll: -1.522, pitch: -0.958
10:45:58.091 -> Acceleration in g's  X: 0.016, Y: -0.037, Z: 1.002, roll: -2.121, pitch: -0.893
10:45:58.126 -> Acceleration in g's  X: 0.015, Y: -0.032, Z: 1.001, roll: -1.844, pitch: -0.838
10:45:58.126 -> Acceleration in g's  X: 0.018, Y: -0.020, Z: 0.989, roll: -1.131, pitch: -1.018
10:45:58.159 -> Acceleration in g's  X: 0.017, Y: -0.027, Z: 1.002, roll: -1.563, pitch: -0.949
10:45:58.195 -> Acceleration in g's  X: 0.015, Y: -0.047, Z: 0.998, roll: -2.689, pitch: -0.840
10:45:58.227 -> Acceleration in g's  X: 0.016, Y: -0.023, Z: 0.992, roll: -1.353, pitch: -0.902
10:45:58.227 -> Acceleration in g's  X: 0.019, Y: -0.006, Z: 0.992, roll: -0.338, pitch: -1.071
10:45:58.261 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -0.952
10:45:58.296 -> Acceleration in g's  X: 0.016, Y: -0.038, Z: 1.000, roll: -2.181, pitch: -0.895
10:45:58.330 -> Acceleration in g's  X: 0.015, Y: -0.023, Z: 0.994, roll: -1.351, pitch: -0.844
10:45:58.364 -> Acceleration in g's  X: 0.019, Y: -0.025, Z: 0.996, roll: -1.460, pitch: -1.067
10:45:58.364 -> Acceleration in g's  X: 0.020, Y: -0.040, Z: 1.001, roll: -2.291, pitch: -1.117
10:45:58.398 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:58.432 -> Acceleration in g's  X: 0.015, Y: -0.021, Z: 0.992, roll: -1.240, pitch: -0.846
10:45:58.466 -> Acceleration in g's  X: 0.019, Y: -0.025, Z: 1.003, roll: -1.450, pitch: -1.060
10:45:58.466 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.008
